JOBS_NAME,JOB_URL,JOB_LAST_BUILD_STATUS
Dev,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/Dev/,
Devops,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/Devops/,
first-job,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/first-job/,blue
geo-app,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/geo-app/,blue
geolocation,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/geolocation/,blue
Jfrog-test-pipeline,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/Jfrog-test-pipeline/,blue
job2,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/job2/,blue
maven-ecr-pipeline,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/maven-ecr-pipeline/,blue
maven-project,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/maven-project/,blue
QA,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/QA/,
terraform-code,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/terraform-code/,blue
terraform-code1,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/terraform-code1/,blue
terraform-code2,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/terraform-code2/,blue
test-java,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/test-java/,blue
test-job,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/test-job/,blue
week16-project,http://ec2-34-230-22-11.compute-1.amazonaws.com:8080/job/week16-project/,
